index,class_id,class_name,artist,music_name,music_img,youtube_link
0,n01440764,tench,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
1,n01443537,goldfish,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
2,n01484850,great_white_shark,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
3,n01491361,tiger_shark,Matrang,Медуза,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=HNHbQXnTWbw
4,n01494475,hammerhead,FEDUK,Моряк,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=dS195rBJhXM
5,n01496331,electric_ray,FEDUK,Моряк,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=dS195rBJhXM
6,n01498041,stingray,FEDUK,Моряк,https://cdn.promodj.com/afs/3e15636d1c1523b6f24ea8b4395dcc5712:resize:2000x2000:same:9f6d02,https://www.youtube.com/watch?v=dS195rBJhXM
7,n01514668,cock,La Synesia,Puteuh,https://i1.sndcdn.com/artworks-000207728507-wjzkv8-t500x500.jpg,https://www.youtube.com/watch?v=VZX8BvWNpmE
8,n01514859,hen,La Synesia,Puteuh,https://i1.sndcdn.com/artworks-000207728507-wjzkv8-t500x500.jpg,https://www.youtube.com/watch?v=VZX8BvWNpmE
9,n01518878,ostrich,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/video/CB0DEcaPwhw
10,n01530575,brambling,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
11,n01531178,goldfinch,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
12,n01532829,house_finch,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
13,n01534433,junco,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
14,n01537544,indigo_bunting,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
15,n01558993,robin,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
16,n01560419,bulbul,T-Fest ,Улети,https://avatars.yandex.net/get-music-content/139444/b14dc7d4.a.4557070-1/m1000x1000?webp=false,https://www.youtube.com/watch?v=CB0DEcaPwhw
17,n01580077,jay,Садко,Улетай ,https://vdp.mycdn.me/getImage?id=275985664554&idx=3&thumbType=32,https://www.youtube.com/watch?v=pWlT_fMIo6s
